dataset,approach,rows,columns,target_column,attrition_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,selected_model,selected_threshold,fairness_status,max_fairness_disparity,top_drivers,insight_count,predictive_score,usability_score,final_project_score
ibm_hr_attrition,Baseline,1470,35,Attrition,0.16122448979591836,0.8505434782608695,0.6428571428571429,0.15254237288135594,0.2465753424657534,0.7789479458065931,0.4438366447681637,RandomForestClassifier,0.5,Not assessed,,,0,0.5007821263505001,0.2,0.4255865947628751
ibm_hr_attrition,Retainly,1470,35,Attrition,0.16122448979591836,0.842391304347826,0.5084745762711864,0.5084745762711864,0.5084745762711864,0.792935110526027,0.5497684139012415,LogisticRegression,0.6599999999999997,High,0.8333333333333334,OverTime; JobRole; TotalWorkingYears; NumCompaniesWorked; JobLevel,5,0.607833359075004,1.0,0.7058750193062531
synthetic_employee_attrition_74498,Baseline,74498,24,Attrition,0.47477784638513787,0.7429798657718121,0.7261878206558109,0.7362885898450752,0.7312033241619406,0.8333427858839146,0.8170316842079814,RandomForestClassifier,0.5,Not assessed,,,0,0.7523693670961175,0.2,0.6142770253220882
synthetic_employee_attrition_74498,Retainly,74498,24,Attrition,0.47477784638513787,0.7023892617449664,0.6410497520943751,0.8480153793961326,0.7301494571831946,0.7972710147366611,0.7706070099282728,GradientBoostingClassifier,0.3799999999999999,High,0.4669522643818849,cat__Job Level_Senior; cat__Job Level_Entry; cat__Remote Work_Yes; cat__Work-Life Balance_Fair; cat__Remote Work_No,5,0.7411085725502271,1.0,0.8058314294126703
