dataset,dataset_label,rows,usable_rows,columns,target_column,attrition_rate,approach,selected_model,selected_threshold,predictive_score,usability_score,fair_use_score,fair_use_status,final_project_score,accuracy,precision,recall,f1,roc_auc,pr_auc,recall_at_top_10_percent,recall_at_top_20_percent,lift_at_top_10_percent,lift_at_top_20_percent
employee_attrition_datasettrain,employee_attrition_datasettrain,1000,1000,26,Attrition,0.189,Baseline,LogisticRegression,0.5,0.3193365745866351,0.25,0.25,Not part of baseline workflow,0.29714887071891194,0.81,0.5,0.02631578947368421,0.05,0.46361273554256016,0.20124098953106812,0.07894736842105263,0.10526315789473684,0.7894736842105263,0.5263157894736842
employee_attrition_datasettrain,employee_attrition_datasettrain,1000,1000,26,Attrition,0.189,Retainly,Gradient Boosting,0.22000000000000003,0.31642108725056256,1.0,1.0,Safe for supportive HR review,0.5351663393303826,0.625,0.16363636363636364,0.23684210526315788,0.1935483870967742,0.4824561403508772,0.18338204089580942,0.07894736842105263,0.15789473684210525,0.7894736842105263,0.7894736842105263
ibm_hr_attrition,ibm_hr_attrition,1470,1470,35,Attrition,0.16122448979591836,Baseline,LogisticRegression,0.5,0.6151241959413021,0.25,0.25,Not part of baseline workflow,0.49828445324008547,0.8741496598639455,0.7083333333333334,0.3617021276595745,0.4788732394366197,0.7812903781548798,0.5767966431962467,0.425531914893617,0.5957446808510638,4.170212765957446,2.968626036783267
ibm_hr_attrition,ibm_hr_attrition,1470,1470,35,Attrition,0.16122448979591836,Retainly,Extra Trees Balanced,0.34,0.6133094519744142,1.0,1.0,Safe for supportive HR review,0.7370504273426017,0.8197278911564626,0.45,0.574468085106383,0.5046728971962616,0.7785338961150832,0.5164352464239986,0.3617021276595745,0.574468085106383,3.5446808510638292,2.862603678326722
synthetic_employee_attrition_74498train,synthetic_employee_attrition_74498train (synthetic stress-test),59598,30000,24,Attrition,0.4755,Baseline,LogisticRegression,0.5,0.6935180421450416,0.25,0.25,Not part of baseline workflow,0.5515922686586284,0.7066666666666667,0.6887737478411053,0.6989134244654749,0.6938065414057063,0.7861683680294165,0.7601674690651103,0.18471784086926044,0.3438485804416404,1.8471784086926042,1.719242902208202
synthetic_employee_attrition_74498train,synthetic_employee_attrition_74498train (synthetic stress-test),59598,30000,24,Attrition,0.4755,Retainly,Gradient Boosting,0.34,0.7262902856921906,1.0,1.0,Safe for supportive HR review,0.8138773942706896,0.6891666666666667,0.62300796812749,0.8769716088328076,0.7284903188237006,0.7940655513888848,0.7660070768222571,0.18541885734314756,0.34525061338941465,1.8541885734314758,1.7262530669470733
